title,composer,origin,project,year,artist,publisher,venue_date,spotify,youtube,filename,genres,album,albumcover
Eva,Van Nueten,,,2009,,Bolli Records/62TV,,http://open.spotify.com/album/4b2FoYktxPW5nfuDBLFMWP,,/audio/Eva 1.mp3, ,Merg,/albumcovers/Merg.webp
Eva,Van Nueten,,,2009,,Bolli Records/62TV,,http://open.spotify.com/album/4b2FoYktxPW5nfuDBLFMWP,,/audio/Eva 2.mp3, ,Merg,/albumcovers/Merg.webp
Everybody's Weird,Barman-Ward,,,1999,dEUS,Island,,,,/audio/Everybody's Weird.mp3,"Song,Pop",The Ideal Crash,
Fed-Up,Criscietello-Van Nueten,,,,Vanity Project (2016),,,,,/audio/Fed-Up 1.mp3,"Electronic,Pop",,
Fed-Up,Criscietello-Van Nueten,,,,Vanity Project (2016),,,,,/audio/Fed-Up 2.mp3,"Electronic,Pop",,
Générique de Fin,Van Nueten,feature film,Pulsar,2010,Mauro Pawlovski & Guy Van Nueten,,,,,/audio/Fin du Générique de Fin.mp3,"Electronic,Film,Minimal",,
Fireproof,Stuyven,,,2002,Daan,Tracks,,,,/audio/Fireproof1.mp3,"Pop,Song,Electronic",Bridge Burner,
Fireproof,Stuyven,,,2002,Daan,Tracks,,,,/audio/Fireproof2.mp3,"Pop,Song,Electronic",Bridge Burner,
Firewall,Van Nueten,feature film,Pulsar,2010,,,,,,/audio/Firewall.mp3,"Piano,Film,Minimal",,
Folklore,Anonymous-Van Nueten,dance performance,bâche,2005,,Lowlands,,http://open.spotify.com/track/4vgj8WGDqpjJNeia8v4a1V,,/audio/Folklore 1.mp3,"Electronic,Pop,Stage",bâche,/albumcovers/bâche.webp
Ford Mustang,Van Nueten,theatre piece,Of Mice and Men,2003,Jur van der Lecq & Guy Van Nueten,,,,,/audio/Ford Mustang.mp3,"Pop,Stage",,
Fruit Tree,Nick Drake,,,,"Tom Barman, Guy Van Nueten & The Royal Flemish Philharmonic",,"Concertgebouw, 16-11-2002, Bruges, Belgium",,,/audio/Fruit Tree 1.mp3,"Song,Orchestral,Pop,Live",,
Fruit Tree,Nick Drake,,,,"Tom Barman, Guy Van Nueten & The Royal Flemish Philharmonic",,"Concertgebouw, 16-11-2002, Bruges, Belgium",,,/audio/Fruit Tree 2.mp3,"Song,Orchestral,Pop,Live",,
Fuel,Stuyven,,,2002,Daan,Tracks,,,,/audio/Fuel1.mp3,"Pop,Song,Electronic",Bridge Burner,
Fuel,Stuyven,,,2002,Daan,Tracks,,,,/audio/Fuel2.mp3,"Pop,Song,Electronic",Bridge Burner,
GarageElectroEnnioSurf,Gevaert-Van Nueten,,,,Vanity Project (2015),,,,,/audio/GarageElectroEnnioSurf.mp3,"Rock,Pop",,
Garden of Weeds,Vanhamel,,,2008,Tim Vanhamel,,"StuBru Club 69,Brussels, Belgium, 14-11-2008",,,/audio/Garden of Weeds.mp3,"Live,Pop,Song",,
Gentle Creature,Van Nueten,short movie,Gentle Creature,2009,"Solists of the Flemish Opera, directed by Bart Van Reyn",,,,,/audio/Gentle Creature 1.mp3,"Contemporary,Film,Orchestral",,
Gentle Creature,Van Nueten,short movie,Gentle Creature,2009,"Solists of the Flemish Opera, directed by Bart Van Reyn",,,,,/audio/Gentle Creature 2.mp3,"Contemporary,Film,Orchestral",,
